Symbol,Name,Country,Sector,Industry,exchange
COMM,CommScope Holding Company Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
CONE,CyrusOne Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NDQ
CONN,Conn's Inc. Common Stock,United States,Consumer Services,Consumer Electronics/Video Chains,NDQ
CONX,CONX Corp. Class A Common Stock,United States,,,NDQ
COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services,NDQ
COOP,Mr. Cooper Group Inc. Common Stock,United States,Finance,Finance: Consumer Services,NDQ
CORT,Corcept Therapeutics Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
COST,Costco Wholesale Corporation Common Stock,United States,Consumer Services,Department/Specialty Retail Stores,NDQ
COUP,Coupa Software Incorporated Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
COVA,COVA Acquisition Corp. Class A Ordinary Share,United States,Finance,Business Services,NDQ
COWN,Cowen Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service,NDQ
CPAA,Conyers Park III Acquisition Corp. Class A Common Stock,United States,,,NDQ
CPAR,Catalyst Partners Acquisition Corp. Class A Ordinary Share,United States,,,NDQ
CPRT,Copart Inc. (DE) Common Stock,United States,Miscellaneous,Business Services,NDQ
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CPSI,Computer Programs and Systems Inc. Common Stock,United States,Technology,EDP Services,NDQ
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable,NDQ
CRAI,CRA International Inc. Common Stock,United States,Miscellaneous,Other Consumer Services,NDQ
CRBU,Caribou Biosciences Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
CRCT,Cricut Inc. Class A Common Stock,United States,Capital Goods,Wholesale Distributors,NDQ
CRIS,Curis Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CRMT,America's Car-Mart Inc Common Stock,United States,Consumer Services,Other Specialty Stores,NDQ
CRNC,Cerence Inc. Common Stock,United States,Technology,EDP Services,NDQ
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CRON,Cronos Group Inc. Common Share,Canada,,,NDQ
CROX,Crocs Inc. Common Stock,United States,Consumer Non-Durables,Shoe Manufacturing,NDQ
CRSP,CRISPR Therapeutics AG Common Shares,Switzerland,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CRSR,Corsair Gaming Inc. Common Stock,United States,Technology,Computer Manufacturing,NDQ
CRTO,Criteo S.A. American Depositary Shares,France,Technology,Advertising,NDQ
CRTX,Cortexyme Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CRUS,Cirrus Logic Inc. Common Stock,United States,Technology,Semiconductors,NDQ
CRVL,CorVel Corp. Common Stock,United States,Finance,Specialty Insurers,NDQ
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
CSCO,Cisco Systems Inc. Common Stock (DE),United States,Technology,Computer peripheral equipment,NDQ
CSGP,CoStar Group Inc. Common Stock,United States,Finance,Real Estate,NDQ
CSGS,CSG Systems International Inc. Common Stock,United States,Technology,EDP Services,NDQ
CSII,Cardiovascular Systems Inc. Common Stock,United States,Health Care,Medical/Dental Instruments,NDQ
CSIQ,Canadian Solar Inc. Common Shares (BC),China,,,NDQ
CSQ,Calamos Strategic Total Return Common Stock,United States,Finance,Finance Companies,NDQ
CSTE,Caesarstone Ltd. Ordinary Shares,Israel,Capital Goods,Multi-Sector Companies,NDQ
CSTL,Castle Biosciences Inc. Common Stock,United States,Health Care,Medical Specialities,NDQ
CSTR,CapStar Financial Holdings Inc. Common Stock,United States,Finance,Major Banks,NDQ
CSWC,Capital Southwest Corporation Common Stock,United States,Finance,Finance/Investors Services,NDQ
CSWI,CSW Industrials Inc. Common Stock,United States,Basic Industries,Home Furnishings,NDQ
CSX,CSX Corporation Common Stock,United States,Transportation,Railroads,NDQ
CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock,United States,,,NDQ
CTAS,Cintas Corporation Common Stock,United States,Miscellaneous,Business Services,NDQ
CTBI,Community Trust Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
