symbol,name,country,sector,industry,exchange
CRNC,Cerence Inc. Common Stock,United States,Technology,EDP Services,NDQ
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CRON,Cronos Group Inc. Common Share,Canada,,,NDQ
CROX,Crocs Inc. Common Stock,United States,Consumer Non-Durables,Shoe Manufacturing,NDQ
CRSP,CRISPR Therapeutics AG Common Shares,Switzerland,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CRSR,Corsair Gaming Inc. Common Stock,United States,Technology,Computer Manufacturing,NDQ
CRTO,Criteo S.A. American Depositary Shares,France,Technology,Advertising,NDQ
CRTX,Cortexyme Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CRUS,Cirrus Logic Inc. Common Stock,United States,Technology,Semiconductors,NDQ
CRVL,CorVel Corp. Common Stock,United States,Finance,Specialty Insurers,NDQ
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
CSCO,Cisco Systems Inc. Common Stock (DE),United States,Technology,Computer peripheral equipment,NDQ
CSGP,CoStar Group Inc. Common Stock,United States,Finance,Real Estate,NDQ
CSGS,CSG Systems International Inc. Common Stock,United States,Technology,EDP Services,NDQ
CSII,Cardiovascular Systems Inc. Common Stock,United States,Health Care,Medical/Dental Instruments,NDQ
CSIQ,Canadian Solar Inc. Common Shares (BC),China,,,NDQ
CSQ,Calamos Strategic Total Return Common Stock,United States,Finance,Finance Companies,NDQ
CSTE,Caesarstone Ltd. Ordinary Shares,Israel,Capital Goods,Multi-Sector Companies,NDQ
CSTL,Castle Biosciences Inc. Common Stock,United States,Health Care,Medical Specialities,NDQ
CSTR,CapStar Financial Holdings Inc. Common Stock,United States,Finance,Major Banks,NDQ
CSWC,Capital Southwest Corporation Common Stock,United States,Finance,Finance/Investors Services,NDQ
CSWI,CSW Industrials Inc. Common Stock,United States,Basic Industries,Home Furnishings,NDQ
CSX,CSX Corporation Common Stock,United States,Transportation,Railroads,NDQ
CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock,United States,,,NDQ
CTAS,Cintas Corporation Common Stock,United States,Miscellaneous,Business Services,NDQ
CTBI,Community Trust Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
CTKB,Cytek Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NDQ
CTLP,Cantaloupe Inc. Common Stock,United States,Technology,EDP Services,NDQ
CTMX,CytomX Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CTRE,CareTrust REIT Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NDQ
CTRN,Citi Trends Inc. Common Stock,United States,,,NDQ
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,Technology,EDP Services,NDQ
CTXS,Citrix Systems Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
CUE,Cue Biopharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CURI,CuriosityStream Inc. Class A Common Stock,United States,Consumer Services,Broadcasting,NDQ
CUTR,Cutera Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NDQ
CVAC,CureVac N.V. Ordinary Shares,Germany,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CVBF,CVB Financial Corporation Common Stock,United States,Finance,Major Banks,NDQ
CVCO,Cavco Industries Inc. Common Stock When Issued,United States,Basic Industries,Homebuilding,NDQ
CVET,Covetrus Inc. Common Stock,United States,Health Care,Managed Health Care,NDQ
CVGI,Commercial Vehicle Group Inc. Common Stock,United States,Capital Goods,Auto Parts:O.E.M.,NDQ
CVGW,Calavo Growers Inc. Common Stock,United States,,Farming/Seeds/Milling,NDQ
CVLG,Covenant Logistics Group Inc. Class A Common Stock,United States,Transportation,Trucking Freight/Courier Services,NDQ
CVLT,Commvault Systems Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
